%psbl,MaxPoints,Points,HF,Time,A,B,C,D,M,NPM,NS,Proc
100.000000,160.000000,148.000000,6.925600,21.370000,26.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.370000,160.000000,146.000000,6.535400,22.340000,25.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.400000,160.000000,150.000000,6.468300,23.190000,27.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.480000,160.000000,146.000000,6.266100,23.300000,25.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89.520000,160.000000,154.000000,6.199700,24.840000,29.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89.180000,160.000000,152.000000,6.176400,24.610000,29.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000
89.030000,160.000000,142.000000,6.165900,23.030000,23.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000
88.590000,160.000000,154.000000,6.135500,25.100000,29.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87.880000,160.000000,144.000000,6.086200,23.660000,24.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87.620000,160.000000,144.000000,6.068300,23.730000,25.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
87.620000,160.000000,152.000000,6.067900,25.050000,28.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86.260000,160.000000,150.000000,5.973700,25.110000,27.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86.030000,160.000000,130.000000,5.957800,21.820000,18.000000,0.000000,13.000000,1.000000,0.000000,0.000000,0.000000,0.000000
85.670000,160.000000,144.000000,5.933300,24.270000,26.000000,0.000000,4.000000,2.000000,0.000000,0.000000,0.000000,0.000000
85.520000,160.000000,148.000000,5.922700,23.300000,27.000000,0.000000,4.000000,1.000000,0.000000,0.000000,1.000000,0.000000
85.180000,160.000000,152.000000,5.899500,24.070000,28.000000,0.000000,4.000000,0.000000,0.000000,0.000000,1.000000,0.000000
84.030000,160.000000,148.000000,5.819900,25.430000,26.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84.020000,160.000000,140.000000,5.818800,24.060000,23.000000,0.000000,8.000000,1.000000,0.000000,0.000000,0.000000,0.000000
83.720000,160.000000,134.000000,5.798400,23.110000,20.000000,0.000000,11.000000,1.000000,0.000000,0.000000,0.000000,0.000000
83.320000,160.000000,152.000000,5.770700,26.340000,28.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83.130000,160.000000,160.000000,5.757500,27.790000,32.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.570000,160.000000,144.000000,5.718800,25.180000,24.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.200000,160.000000,136.000000,5.692800,23.890000,21.000000,0.000000,10.000000,1.000000,0.000000,0.000000,0.000000,0.000000
82.090000,160.000000,156.000000,5.685100,27.440000,30.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
