%psbl,MaxPoints,Points,HF,Time,A,B,C,D,M,NPM,NS,Proc
84.450000,155.000000,143.000000,7.303400,19.580000,25.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84.070000,155.000000,143.000000,7.270000,19.670000,26.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
83.910000,155.000000,151.000000,7.256100,20.810000,30.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
83.690000,155.000000,136.000000,7.237200,17.410000,23.000000,0.000000,7.000000,0.000000,1.000000,0.000000,0.000000,0.000000
83.680000,155.000000,143.000000,7.236800,19.760000,25.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.680000,155.000000,151.000000,7.149600,21.120000,29.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.600000,155.000000,149.000000,7.142900,20.860000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.470000,155.000000,141.000000,7.132000,19.770000,24.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.380000,155.000000,147.000000,7.124300,19.230000,28.000000,0.000000,2.000000,1.000000,0.000000,0.000000,1.000000,0.000000
82.210000,155.000000,137.000000,7.109500,19.270000,22.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.120000,155.000000,135.000000,7.101500,19.010000,21.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.840000,155.000000,147.000000,7.077500,20.770000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.730000,155.000000,135.000000,7.068100,19.100000,23.000000,0.000000,6.000000,2.000000,0.000000,0.000000,0.000000,0.000000
81.700000,155.000000,143.000000,7.065200,20.240000,25.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.550000,155.000000,149.000000,7.052300,19.710000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.000000,0.000000
81.500000,155.000000,149.000000,7.048200,21.140000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.350000,155.000000,149.000000,7.034900,21.180000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.120000,155.000000,145.000000,7.015000,20.670000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.070000,155.000000,129.000000,7.010900,18.400000,19.000000,0.000000,11.000000,1.000000,0.000000,0.000000,0.000000,0.000000
81.000000,155.000000,141.000000,7.004500,20.130000,24.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.990000,155.000000,150.000000,7.003500,19.990000,30.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
80.930000,155.000000,149.000000,6.998600,21.290000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.800000,155.000000,145.000000,6.987600,19.320000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000
80.690000,155.000000,145.000000,6.977900,20.780000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.530000,155.000000,153.000000,6.964000,21.970000,30.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.230000,155.000000,143.000000,6.938400,20.610000,25.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.200000,155.000000,132.000000,6.935800,17.590000,22.000000,0.000000,7.000000,1.000000,1.000000,0.000000,0.000000,0.000000
80.130000,155.000000,139.000000,6.929200,20.060000,25.000000,0.000000,4.000000,2.000000,0.000000,0.000000,0.000000,0.000000
80.120000,155.000000,143.000000,6.928300,20.640000,25.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.070000,155.000000,146.000000,6.924600,19.640000,28.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000
80.050000,155.000000,147.000000,6.922700,19.790000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,1.000000,0.000000
80.050000,155.000000,139.000000,6.922300,20.080000,23.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
79.810000,155.000000,149.000000,6.901300,21.590000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
79.730000,155.000000,141.000000,6.894900,20.450000,24.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
79.620000,155.000000,145.000000,6.885100,21.060000,27.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
79.280000,155.000000,145.000000,6.855800,21.150000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
79.230000,155.000000,151.000000,6.851200,22.040000,29.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
79.170000,155.000000,147.000000,6.846800,21.470000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
79.160000,155.000000,130.000000,6.845400,17.530000,20.000000,0.000000,10.000000,0.000000,1.000000,0.000000,0.000000,0.000000
79.090000,155.000000,137.000000,6.839700,20.030000,23.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
79.070000,155.000000,141.000000,6.838000,20.620000,24.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.740000,155.000000,153.000000,6.809100,22.470000,30.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.720000,155.000000,139.000000,6.807100,20.420000,23.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.710000,155.000000,143.000000,6.806300,21.010000,26.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
78.540000,155.000000,145.000000,6.791600,21.350000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.500000,155.000000,149.000000,6.788200,21.950000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.440000,155.000000,147.000000,6.783600,21.670000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.370000,155.000000,143.000000,6.777300,21.100000,27.000000,0.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000
78.350000,155.000000,149.000000,6.775800,21.990000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.300000,155.000000,147.000000,6.771100,21.710000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.120000,155.000000,147.000000,6.755500,21.760000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.040000,155.000000,137.000000,6.748800,20.300000,23.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
78.020000,155.000000,145.000000,6.747300,21.490000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.000000,155.000000,137.000000,6.745400,20.310000,23.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
77.860000,155.000000,141.000000,6.733500,20.940000,24.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
77.790000,155.000000,141.000000,6.727100,20.960000,25.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
77.670000,155.000000,143.000000,6.716800,21.290000,25.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
77.640000,155.000000,141.000000,6.714300,21.000000,25.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
77.620000,155.000000,147.000000,6.712300,21.900000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
77.610000,155.000000,149.000000,6.711700,22.200000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
77.550000,155.000000,147.000000,6.706200,21.920000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
77.480000,155.000000,144.000000,6.700000,20.000000,27.000000,0.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000
77.420000,155.000000,141.000000,6.695200,21.060000,25.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
77.390000,155.000000,137.000000,6.692700,20.470000,23.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
77.200000,155.000000,143.000000,6.676000,21.420000,25.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.920000,155.000000,145.000000,6.651400,21.800000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.850000,155.000000,147.000000,6.645600,22.120000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.810000,155.000000,143.000000,6.641900,21.530000,26.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
76.640000,155.000000,137.000000,6.628000,20.670000,22.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.590000,155.000000,133.000000,6.623500,20.080000,21.000000,0.000000,9.000000,1.000000,0.000000,0.000000,0.000000,0.000000
76.390000,155.000000,137.000000,6.605600,20.740000,23.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
76.350000,155.000000,145.000000,6.602900,21.960000,27.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
