%psbl,MaxPoints,Points,HF,Time,A,B,C,D,M,NPM,NS,Proc
100.000000,100.000000,94.000000,5.053800,18.600000,17.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
99.090000,100.000000,94.000000,5.008000,18.770000,17.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
98.000000,100.000000,94.000000,4.952600,18.980000,17.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.870000,100.000000,94.000000,4.895800,19.200000,17.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.380000,100.000000,96.000000,4.870600,19.710000,18.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95.440000,100.000000,86.000000,4.823300,17.830000,13.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.930000,100.000000,96.000000,4.797600,20.010000,18.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.880000,100.000000,96.000000,4.795200,20.020000,18.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.860000,100.000000,92.000000,4.794200,19.190000,16.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.080000,100.000000,96.000000,4.754800,20.190000,18.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.970000,100.000000,88.000000,4.749100,18.530000,14.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.840000,100.000000,92.000000,4.742300,19.400000,17.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000
93.780000,100.000000,90.000000,4.739300,18.990000,15.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.500000,100.000000,92.000000,4.725200,19.470000,16.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.530000,100.000000,96.000000,4.676100,20.530000,18.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
