%psbl,MaxPoints,Points,HF,Time,A,B,C,D,M,NPM,NS,Proc
100.000000,100.000000,94.000000,7.730300,12.160000,17.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
99.180000,100.000000,92.000000,7.666700,12.000000,16.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
98.480000,100.000000,88.000000,7.612500,11.560000,14.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
98.020000,100.000000,86.000000,7.577100,11.350000,13.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.070000,100.000000,88.000000,7.426200,11.850000,14.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.100000,100.000000,86.000000,7.196700,11.950000,15.000000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000
92.690000,100.000000,92.000000,7.165100,12.840000,16.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.480000,100.000000,84.000000,7.148900,11.750000,13.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
91.800000,100.000000,88.000000,7.096800,12.400000,14.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.640000,100.000000,88.000000,7.006400,12.560000,14.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87.670000,100.000000,86.000000,6.777000,12.690000,13.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87.550000,100.000000,94.000000,6.767500,13.890000,17.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87.550000,100.000000,94.000000,6.767500,13.890000,18.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
87.420000,100.000000,94.000000,6.757700,13.910000,17.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86.710000,100.000000,86.000000,6.703000,12.830000,13.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86.630000,100.000000,90.000000,6.696400,13.440000,15.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86.310000,100.000000,84.000000,6.672000,12.590000,12.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85.840000,100.000000,86.000000,6.635800,12.960000,13.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85.000000,100.000000,96.000000,6.570800,14.610000,18.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83.780000,100.000000,84.000000,6.476500,12.970000,12.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83.580000,100.000000,92.000000,6.460700,14.240000,16.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83.400000,100.000000,90.000000,6.447000,13.960000,15.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.900000,100.000000,76.000000,6.408100,11.860000,9.000000,0.000000,10.000000,1.000000,0.000000,0.000000,0.000000,0.000000
82.780000,100.000000,86.000000,6.398800,13.440000,13.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.160000,100.000000,86.000000,6.351600,13.540000,13.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.020000,100.000000,89.000000,6.340300,12.460000,16.000000,0.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000
81.740000,100.000000,86.000000,6.318900,13.610000,13.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.210000,100.000000,86.000000,6.277400,13.700000,14.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
80.790000,100.000000,88.000000,6.245600,14.090000,14.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.720000,100.000000,80.000000,6.240200,12.820000,12.000000,0.000000,6.000000,2.000000,0.000000,0.000000,0.000000,0.000000
80.410000,100.000000,80.000000,6.216000,12.870000,11.000000,0.000000,8.000000,1.000000,0.000000,0.000000,0.000000,0.000000
80.360000,100.000000,82.000000,6.212100,13.200000,12.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
79.770000,100.000000,88.000000,6.166800,14.270000,14.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
79.690000,100.000000,86.000000,6.160500,13.960000,13.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.030000,100.000000,93.000000,6.032000,13.760000,18.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
77.130000,100.000000,92.000000,5.962400,15.430000,16.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.650000,100.000000,82.000000,5.924900,13.840000,11.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.480000,100.000000,82.000000,5.912000,13.870000,11.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.880000,100.000000,84.000000,5.865900,14.320000,12.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.590000,100.000000,80.000000,5.843700,13.690000,11.000000,0.000000,8.000000,1.000000,0.000000,0.000000,0.000000,0.000000
75.510000,100.000000,98.000000,5.836800,16.790000,19.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.240000,100.000000,88.000000,5.816300,15.130000,15.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
74.940000,100.000000,88.000000,5.793300,15.190000,14.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.770000,100.000000,84.000000,5.702600,14.730000,13.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
73.670000,100.000000,85.000000,5.694800,13.170000,14.000000,0.000000,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000
73.550000,100.000000,92.000000,5.686000,16.180000,17.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000
73.460000,100.000000,92.000000,5.679000,16.200000,16.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.080000,100.000000,94.000000,5.649000,16.640000,17.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72.680000,100.000000,85.000000,5.618000,13.350000,14.000000,0.000000,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000
71.490000,100.000000,74.000000,5.526500,13.390000,10.000000,0.000000,7.000000,3.000000,0.000000,0.000000,0.000000,0.000000
71.250000,100.000000,81.000000,5.508100,12.890000,12.000000,0.000000,7.000000,0.000000,1.000000,0.000000,0.000000,0.000000
70.400000,100.000000,88.000000,5.442200,16.170000,15.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
70.130000,100.000000,92.000000,5.421300,16.970000,16.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.050000,100.000000,83.000000,5.415400,13.480000,14.000000,0.000000,4.000000,1.000000,1.000000,0.000000,0.000000,0.000000
70.050000,100.000000,85.000000,5.415200,13.850000,14.000000,0.000000,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000
69.880000,100.000000,80.000000,5.401800,14.810000,10.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69.580000,100.000000,88.000000,5.379000,16.360000,14.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68.820000,100.000000,84.000000,5.319800,15.790000,13.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
68.040000,100.000000,86.000000,5.259900,16.350000,14.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
67.950000,100.000000,82.000000,5.253000,15.610000,12.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
67.690000,100.000000,92.000000,5.232900,15.670000,16.000000,0.000000,4.000000,0.000000,0.000000,0.000000,1.000000,0.000000
67.650000,100.000000,82.000000,5.229600,15.680000,13.000000,0.000000,5.000000,2.000000,0.000000,0.000000,0.000000,0.000000
67.030000,100.000000,84.000000,5.182000,16.210000,12.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66.840000,100.000000,86.000000,5.166600,14.710000,14.000000,0.000000,5.000000,1.000000,0.000000,0.000000,1.000000,0.000000
66.620000,100.000000,84.000000,5.150200,16.310000,13.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
66.170000,100.000000,90.000000,5.115100,15.640000,15.000000,0.000000,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000
66.150000,100.000000,88.000000,5.113300,17.210000,14.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65.790000,100.000000,86.000000,5.085700,16.910000,14.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
65.400000,100.000000,96.000000,5.055300,18.990000,18.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65.100000,100.000000,94.000000,5.032100,18.680000,17.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65.090000,100.000000,88.000000,5.031400,17.490000,14.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64.960000,100.000000,82.000000,5.021400,16.330000,12.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
63.640000,100.000000,92.000000,4.919800,18.700000,16.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
63.640000,100.000000,90.000000,4.919200,14.230000,15.000000,0.000000,5.000000,0.000000,0.000000,0.000000,2.000000,0.000000
63.630000,100.000000,82.000000,4.919000,16.670000,11.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62.780000,100.000000,96.000000,4.853400,19.780000,18.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62.520000,100.000000,94.000000,4.832900,19.450000,17.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62.460000,100.000000,86.000000,4.828700,17.810000,13.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
61.940000,100.000000,79.000000,4.788300,14.410000,12.000000,0.000000,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000
60.630000,100.000000,92.000000,4.686700,19.630000,16.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60.530000,100.000000,91.000000,4.679400,17.310000,18.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
59.670000,100.000000,78.000000,4.612700,16.910000,10.000000,0.000000,9.000000,1.000000,0.000000,0.000000,0.000000,0.000000
58.650000,100.000000,91.000000,4.533800,15.660000,17.000000,0.000000,2.000000,0.000000,1.000000,0.000000,1.000000,0.000000
58.280000,100.000000,81.000000,4.505200,13.540000,12.000000,0.000000,7.000000,0.000000,1.000000,0.000000,1.000000,0.000000
